author_type,url,location,deal_type,accommodation_type,price,year_of_construction,house_material_type,living_meters,floors_count,underground,creation_date,price_per_m2,underground_list,month,year_month,year,day_of_week
realtor_based,https://www.cian.ru/rent/flat/319641559/,Москва,rent_long,flat,235000.0,,monolithBrick,30.0,21,"Курская, Чкаловская, Курская",2025-07-10,7833.333333333333,"['Курская', 'Чкаловская', 'Курская']",7,2025-07,2025,3
realtor_based,https://www.cian.ru/rent/flat/319676939/,Москва,rent_long,flat,240000.0,,unknown,30.0,13,"Маяковская, Пушкинская, Тверская, Белорусская, Баррикадная, Чеховская, Белорусская",2025-07-11,8000.0,"['Маяковская', 'Пушкинская', 'Тверская', 'Белорусская', 'Баррикадная', 'Чеховская', 'Белорусская']",7,2025-07,2025,4
realtor_based,https://www.cian.ru/rent/flat/319477185/,Москва,rent_long,flat,240000.0,,monolithBrick,64.6,10,"Менделеевская, Новослободская, Достоевская, Белорусская, Савёловская, Савёловская, Савёловская, Белорусская",2025-07-06,3715.1702786377714,"['Менделеевская', 'Новослободская', 'Достоевская', 'Белорусская', 'Савёловская', 'Савёловская', 'Савёловская', 'Белорусская']",7,2025-07,2025,6
realtor_based,https://www.cian.ru/rent/flat/319181949/,Москва,rent_long,flat,240000.0,2014.0,monolithBrick,30.0,26,"Речной вокзал, Беломорская, Ховрино",2025-06-27,8000.0,"['Речной вокзал', 'Беломорская', 'Ховрино']",6,2025-06,2025,4
realtor_based,https://www.cian.ru/rent/flat/317820128/,Москва,rent_long,flat,240000.0,,monolith,73.0,28,"Сокольники, Сокольники, Красносельская",2025-05-21,3287.671232876712,"['Сокольники', 'Сокольники', 'Красносельская']",5,2025-05,2025,2
realtor_based,https://www.cian.ru/rent/flat/312724035/,Москва,rent_long,flat,240000.0,,unknown,30.0,75,"Деловой центр, Деловой центр, Москва-Сити, Москва-Сити, Деловой центр, Москва-Сити, Шелепиха",2025-01-23,8000.0,"['Деловой центр', 'Деловой центр', 'Москва-Сити', 'Москва-Сити', 'Деловой центр', 'Москва-Сити', 'Шелепиха']",1,2025-01,2025,3
realtor_based,https://www.cian.ru/rent/flat/317216204/,Москва,rent_long,flat,240000.0,,unknown,30.0,95,"Деловой центр, Деловой центр, Москва-Сити, Деловой центр, Москва-Сити, Москва-Сити, Шелепиха",2025-05-06,8000.0,"['Деловой центр', 'Деловой центр', 'Москва-Сити', 'Деловой центр', 'Москва-Сити', 'Москва-Сити', 'Шелепиха']",5,2025-05,2025,1
realtor_based,https://www.cian.ru/rent/flat/317368691/,Москва,rent_long,flat,240000.0,,unknown,30.0,68,"Москва-Сити, Москва-Сити, Деловой центр, Деловой центр, Деловой центр, Москва-Сити, Шелепиха, Шелепиха",2025-05-11,8000.0,"['Москва-Сити', 'Москва-Сити', 'Деловой центр', 'Деловой центр', 'Деловой центр', 'Москва-Сити', 'Шелепиха', 'Шелепиха']",5,2025-05,2025,6
realtor_not_commerce,https://www.cian.ru/rent/flat/319385527/,Москва,rent_long,flat,245000.0,1972.0,brick,30.0,14,"Баррикадная, Краснопресненская, Арбатская, Смоленская, Тверская, Пушкинская, Александровский сад, Библиотека им. Ленина",2025-07-03,8166.666666666667,"['Баррикадная', 'Краснопресненская', 'Арбатская', 'Смоленская', 'Тверская', 'Пушкинская', 'Александровский сад', 'Библиотека им. Ленина']",7,2025-07,2025,3
realtor_based,https://www.cian.ru/rent/flat/318786640/,Москва,rent_long,flat,249990.0,1959.0,brick,30.0,8,"Москва-Сити, Киевская, Студенческая, Деловой центр, Кутузовская, Деловой центр",2025-06-17,8333.0,"['Москва-Сити', 'Киевская', 'Студенческая', 'Деловой центр', 'Кутузовская', 'Деловой центр']",6,2025-06,2025,1
